outcome_true,outcome_pre,outcome_pre_shifted,signed_diff_true,signed_diff_pre
366.0,192.77461,277.81,,
352.0,277.81,280.99026,-14.0,3.1802599999999757
354.0,280.99026,280.96396,2.0,-0.026299999999991996
363.0,280.96396,280.98932,9.0,0.025360000000034688
354.0,280.98932,280.9641,-9.0,-0.025220000000047094
346.0,280.9641,280.92596,-8.0,-0.03813999999999851
352.0,280.92596,280.95734,6.0,0.03138000000001284
348.0,280.95734,280.93784,-4.0,-0.019499999999993634
359.0,280.93784,280.98026,11.0,0.0424199999999928
359.0,280.98026,280.97968,0.0,-0.0005800000000135697
365.0,280.97968,280.99313,6.0,0.013450000000034379
301.0,280.99313,278.05255,-64.0,-2.9405800000000113
286.0,278.05255,272.80774,-15.0,-5.244809999999973
283.0,272.80774,269.88425,-3.0,-2.9234900000000152
287.0,269.88425,270.20654,4.0,0.3222900000000095
297.0,270.20654,275.37067,10.0,5.16413
297.0,275.37067,276.65262,0.0,1.2819499999999948
302.0,276.65262,278.44955,5.0,1.7969299999999748
294.0,278.44955,276.2885,-8.0,-2.161049999999989
303.0,276.2885,278.7959,9.0,2.5074000000000183
299.0,278.7959,277.7906,-4.0,-1.0053000000000338
297.0,277.7906,277.38214,-2.0,-0.40845999999999094
288.0,277.38214,273.7043,-9.0,-3.6778400000000033
164.0,273.7043,160.03622,-124.0,-113.66808
162.0,160.03622,159.55745,-2.0,-0.47876999999999725
178.0,159.55745,176.02597,16.0,16.468520000000012
155.0,176.02597,155.12518,-23.0,-20.90079000000003
246.0,155.12518,252.17535,91.0,97.05017000000001
241.0,252.17535,240.6646,-5.0,-11.51075000000003
253.0,240.6646,243.30028,12.0,2.6356799999999794
248.0,243.30028,239.90804,-5.0,-3.3922400000000152
242.0,239.90804,236.16504,-6.0,-3.742999999999995
267.0,236.16504,248.18848,25.0,12.023439999999994
230.0,248.18848,233.63245,-37.0,-14.556029999999964
252.0,233.63245,239.83191,22.0,6.199459999999988
265.0,239.83191,248.27667,13.0,8.444760000000002
64.0,248.27667,71.11618,159.0,-177.16048999999998
60.0,71.11618,66.568275,-4.0,-4.547905000000014
65.0,66.568275,65.73987,5.0,-0.8284049999999752
153.0,65.73987,160.80696,88.0,95.06709000000001
148.0,160.80696,138.6352,-5.0,-22.171760000000006
154.0,138.6352,162.87132,6.0,24.23612
158.0,162.87132,157.1839,4.0,-5.687419999999975
151.0,157.1839,158.46544,-7.0,1.2815400000000068
156.0,158.46544,161.53998,5.0,3.074540000000013
156.0,161.53998,166.03645,0.0,4.496469999999988
150.0,166.03645,168.23827,-6.0,2.201819999999998
146.0,168.23827,167.76309,-4.0,-0.47518000000002303
248.0,167.76309,254.79988,102.0,87.03679
237.0,254.79988,242.06697,-11.0,-12.732910000000004
260.0,242.06697,247.82343,23.0,5.756460000000004
278.0,247.82343,255.28108,18.0,7.457650000000001
272.0,255.28108,255.20685,-6.0,-0.07423000000000002
244.0,255.20685,240.97581,-28.0,-14.231040000000007
268.0,240.97581,250.31335,24.0,9.337540000000018
268.0,250.31335,252.43712,0.0,2.123769999999979
262.0,252.43712,250.33598,-6.0,-2.1011399999999867
254.0,250.33598,245.88155,-8.0,-4.454430000000002
267.0,245.88155,250.97112,13.0,5.089570000000009
262.0,250.97112,250.09012,-5.0,-0.8809999999999718
278.0,250.09012,256.45773,16.0,6.367610000000013
249.0,256.45773,243.66132,-29.0,-12.796410000000037
267.0,243.66132,250.55238,18.0,6.89106000000001
90.0,250.55238,93.624695,-177.0,-156.927685
79.0,93.624695,81.28485,-11.0,-12.339844999999968
79.0,81.28485,88.659134,0.0,7.374283999999989
87.0,88.659134,99.49366,8.0,10.834526000000011
45.0,99.49366,76.56917,-42.0,-22.92448999999999
51.0,76.56917,74.23812,6.0,-2.3310500000000047
46.0,74.23812,65.92098,-5.0,-8.317139999999995
36.0,65.92098,49.17997,-10.0,-16.741010000000017
41.0,49.17997,39.228382,5.0,-9.951588000000015
25.0,39.228382,11.587575,-16.0,-27.640806999999995
32.0,11.587575,51.680992,7.0,40.093417
50.0,51.680992,57.376755,18.0,5.6957629999999995
48.0,57.376755,43.467907,-2.0,-13.908848000000035
43.0,43.467907,60.913486,-5.0,17.445579000000002
34.0,60.913486,30.03276,-9.0,-30.88072599999998
63.0,30.03276,114.94313,29.0,84.91037
289.0,114.94313,262.67267,-134.0,147.72954
289.0,262.67267,277.19788,0.0,14.525210000000015
259.0,277.19788,247.95682,-30.0,-29.241060000000004
267.0,247.95682,253.84428,8.0,5.887460000000004
274.0,253.84428,254.2572,7.0,0.41292000000001394
259.0,254.2572,248.88184,-15.0,-5.375360000000001
299.0,248.88184,266.087,40.0,17.205159999999978
286.0,266.087,265.01688,-13.0,-1.0701199999999744
287.0,265.01688,265.82303,1.0,0.8061500000000024
285.0,265.82303,264.87543,-2.0,-0.9476000000000226
298.0,264.87543,272.9566,13.0,8.081169999999986
207.0,272.9566,200.49251,-91.0,-72.46408999999994
219.0,200.49251,219.4093,12.0,18.916789999999992
219.0,219.4093,213.99545,0.0,-5.413850000000025
208.0,213.99545,203.33142,-11.0,-10.664030000000025
210.0,203.33142,200.63031,2.0,-2.7011099999999715
223.0,200.63031,202.46118,13.0,1.8308700000000044
190.0,202.46118,192.62029,-33.0,-9.840890000000002
222.0,192.62029,202.19849,32.0,9.578199999999981
66.0,202.19849,65.07181,-156.0,-137.12668
70.0,65.07181,,4.0,
