distMean,is_changepoint,rule,outcome,is_oddball
285,1,1,262,-1
285,0,1,284,-1
285,0,1,285,-1
285,0,1,303,-1
285,0,1,277,-1
285,0,1,277,-1
79,1,1,78,-1
79,0,1,93,-1
79,0,1,62,-1
79,0,1,81,-1
79,0,1,70,-1
79,0,1,92,-1
79,0,1,63,-1
79,0,1,78,-1
79,0,1,92,-1
79,0,1,66,-1
231,1,1,241,-1
231,0,1,223,-1
231,0,1,236,-1
231,0,1,235,-1
231,0,1,228,-1
231,0,1,237,-1
30,1,1,38,-1
30,0,1,15,-1
30,0,1,49,-1
30,0,1,31,-1
30,0,1,33,-1
239,1,1,248,-1
239,0,1,255,-1
239,0,1,245,-1
239,0,1,243,-1
239,0,1,236,-1
239,0,1,235,-1
239,0,1,238,-1
239,0,1,240,-1
239,0,1,242,-1
239,0,1,259,-1
239,0,1,240,-1
239,0,1,246,-1
239,0,1,238,-1
239,0,1,231,-1
239,0,1,239,-1
30,1,1,49,-1
30,0,1,41,-1
30,0,1,28,-1
30,0,1,36,-1
30,0,1,25,-1
30,0,1,27,-1
30,0,1,0,-1
30,0,1,18,-1
30,0,1,39,-1
30,0,1,39,-1
30,0,1,27,-1
30,0,1,29,-1
237,1,1,231,-1
237,0,1,228,-1
237,0,1,221,-1
237,0,1,249,-1
237,0,1,233,-1
237,0,1,233,-1
237,0,1,232,-1
237,0,1,244,-1
237,0,1,224,-1
237,0,1,259,-1
237,0,1,246,-1
237,0,1,234,-1
237,0,1,225,-1
78,1,1,87,-1
78,0,1,71,-1
78,0,1,104,-1
78,0,1,77,-1
78,0,1,76,-1
78,0,1,95,-1
78,0,1,63,-1
78,0,1,87,-1
78,0,1,82,-1
78,0,1,73,-1
78,0,1,91,-1
78,0,1,80,-1
278,1,1,279,-1
278,0,1,282,-1
278,0,1,284,-1
278,0,1,286,-1
278,0,1,274,-1
278,0,1,275,-1
278,0,1,275,-1
278,0,1,275,-1
125,1,1,143,-1
125,0,1,120,-1
125,0,1,128,-1
125,0,1,117,-1
125,0,1,116,-1
125,0,1,108,-1
125,0,1,122,-1
125,0,1,136,-1
276,1,1,278,-1
276,0,1,265,-1
276,0,1,256,-1
276,0,1,271,-1
276,0,1,286,-1
276,0,1,276,-1
276,0,1,270,-1
276,0,1,293,-1
276,0,1,272,-1
276,0,1,286,-1
124,1,1,120,-1
124,0,1,149,-1
124,0,1,111,-1
124,0,1,119,-1
124,0,1,144,-1
124,0,1,111,-1
124,0,1,129,-1
279,1,1,271,-1
279,0,1,293,-1
279,0,1,272,-1
279,0,1,270,-1
279,0,1,272,-1
75,1,1,70,-1
75,0,1,67,-1
75,0,1,83,-1
75,0,1,78,-1
75,0,1,66,-1
75,0,1,92,-1
75,0,1,65,-1
75,0,1,62,-1
75,0,1,85,-1
75,0,1,68,-1
231,1,1,224,-1
231,0,1,236,-1
231,0,1,217,-1
231,0,1,233,-1
231,0,1,234,-1
231,0,1,221,-1
231,0,1,242,-1
231,0,1,219,-1
231,0,1,225,-1
231,0,1,232,-1
231,0,1,238,-1
231,0,1,225,-1
231,0,1,241,-1
231,0,1,229,-1
23,1,1,24,-1
23,0,1,27,-1
23,0,1,25,-1
23,0,1,17,-1
23,0,1,33,-1
23,0,1,22,-1
23,0,1,6,-1
23,0,1,7,-1
23,0,1,4,-1
23,0,1,24,-1
23,0,1,15,-1
23,0,1,30,-1
23,0,1,29,-1
23,0,1,35,-1
228,1,1,223,-1
228,0,1,245,-1
228,0,1,225,-1
228,0,1,225,-1
228,0,1,214,-1
228,0,1,232,-1
18,1,1,22,-1
18,0,1,8,-1
18,0,1,31,-1
18,0,1,32,-1
18,0,1,13,-1
18,0,1,21,-1
18,0,1,14,-1
18,0,1,21,-1
18,0,1,37,-1
18,0,1,21,-1
18,0,1,23,-1
18,0,1,15,-1
18,0,1,11,-1
18,0,1,34,-1
18,0,1,26,-1
218,1,1,205,-1
218,0,1,201,-1
218,0,1,243,-1
218,0,1,210,-1
218,0,1,190,-1
60,1,1,88,-1
60,0,1,54,-1
60,0,1,50,-1
60,0,1,53,-1
60,0,1,69,-1
60,0,1,49,-1
60,0,1,69,-1
60,0,1,57,-1
60,0,1,65,-1
60,0,1,55,-1
266,1,1,255,-1
266,0,1,271,-1
266,0,1,268,-1
266,0,1,269,-1
266,0,1,265,-1
266,0,1,258,-1
111,1,1,113,-1
111,0,1,120,-1
111,0,1,95,-1
111,0,1,117,-1
111,0,1,101,-1
111,0,1,118,-1
111,0,1,99,-1
111,0,1,93,-1
111,0,1,109,-1
111,0,1,116,-1
111,0,1,108,-1
111,0,1,118,-1
111,0,1,106,-1
263,1,1,257,-1
263,0,1,252,-1
263,0,1,263,-1
263,0,1,269,-1
263,0,1,259,-1
263,0,1,262,-1
263,0,1,247,-1
263,0,1,275,-1
263,0,1,260,-1
112,1,1,110,-1
112,0,1,106,-1
112,0,1,110,-1
112,0,1,105,-1
112,0,1,109,-1
112,0,1,97,-1
112,0,1,113,-1
320,1,1,322,-1
320,0,1,339,-1
320,0,1,339,-1
320,0,1,312,-1
320,0,1,323,-1
320,0,1,315,-1
320,0,1,323,-1
166,1,1,156,-1
166,0,1,180,-1
166,0,1,179,-1
166,0,1,175,-1
166,0,1,169,-1
166,0,1,156,-1
166,0,1,148,-1
