distMean,is_changepoint,rule,outcome,is_oddball
285,1,1,287,-1
285,0,1,280,-1
285,0,1,267,-1
285,0,1,275,-1
285,0,1,277,-1
285,0,1,296,-1
71,1,1,77,-1
71,0,1,80,-1
71,0,1,86,-1
71,0,1,67,-1
71,0,1,58,-1
71,0,1,84,-1
71,0,1,86,-1
71,0,1,58,-1
71,0,1,75,-1
71,0,1,62,-1
250,1,1,246,-1
250,0,1,244,-1
250,0,1,240,-1
250,0,1,248,-1
250,0,1,239,-1
250,0,1,236,-1
250,0,1,246,-1
250,0,1,252,-1
250,0,1,247,-1
250,0,1,254,-1
250,0,1,233,-1
54,1,1,48,-1
54,0,1,51,-1
54,0,1,68,-1
54,0,1,43,-1
54,0,1,48,-1
54,0,1,74,-1
54,0,1,70,-1
54,0,1,60,-1
54,0,1,53,-1
54,0,1,62,-1
54,0,1,50,-1
54,0,1,54,-1
277,1,1,276,-1
277,0,1,263,-1
277,0,1,259,-1
277,0,1,272,-1
277,0,1,259,-1
277,0,1,281,-1
277,0,1,291,-1
277,0,1,291,-1
277,0,1,262,-1
277,0,1,280,-1
277,0,1,279,-1
277,0,1,292,-1
277,0,1,305,-1
277,0,1,269,-1
277,0,1,297,-1
108,1,1,97,-1
108,0,1,99,-1
108,0,1,115,-1
108,0,1,118,-1
108,0,1,103,-1
108,0,1,93,-1
108,0,1,103,-1
108,0,1,102,-1
108,0,1,99,-1
108,0,1,124,-1
108,0,1,113,-1
108,0,1,103,-1
281,1,1,288,-1
281,0,1,289,-1
281,0,1,297,-1
281,0,1,265,-1
281,0,1,272,-1
281,0,1,290,-1
281,0,1,269,-1
281,0,1,284,-1
281,0,1,285,-1
281,0,1,287,-1
281,0,1,281,-1
281,0,1,273,-1
281,0,1,270,-1
102,1,1,124,-1
102,0,1,85,-1
102,0,1,110,-1
102,0,1,96,-1
102,0,1,95,-1
102,0,1,110,-1
303,1,1,302,-1
303,0,1,300,-1
303,0,1,309,-1
303,0,1,302,-1
303,0,1,290,-1
98,1,1,103,-1
98,0,1,103,-1
98,0,1,88,-1
98,0,1,94,-1
98,0,1,94,-1
98,0,1,120,-1
98,0,1,91,-1
98,0,1,89,-1
98,0,1,98,-1
98,0,1,97,-1
98,0,1,94,-1
98,0,1,99,-1
262,1,1,264,-1
262,0,1,260,-1
262,0,1,260,-1
262,0,1,247,-1
262,0,1,263,-1
262,0,1,277,-1
86,1,1,70,-1
86,0,1,88,-1
86,0,1,80,-1
86,0,1,85,-1
86,0,1,84,-1
86,0,1,81,-1
86,0,1,73,-1
86,0,1,83,-1
268,1,1,263,-1
268,0,1,249,-1
268,0,1,286,-1
268,0,1,265,-1
268,0,1,275,-1
268,0,1,284,-1
268,0,1,268,-1
268,0,1,268,-1
268,0,1,265,-1
268,0,1,277,-1
77,1,1,73,-1
77,0,1,80,-1
77,0,1,68,-1
77,0,1,69,-1
77,0,1,96,-1
214,1,1,217,-1
214,0,1,206,-1
214,0,1,207,-1
214,0,1,209,-1
214,0,1,227,-1
299,1,1,318,-1
299,0,1,288,-1
299,0,1,291,-1
299,0,1,317,-1
299,0,1,301,-1
299,0,1,285,-1
299,0,1,290,-1
299,0,1,298,-1
299,0,1,307,-1
299,0,1,282,-1
299,0,1,297,-1
151,1,1,146,-1
151,0,1,141,-1
151,0,1,159,-1
151,0,1,160,-1
151,0,1,162,-1
151,0,1,156,-1
151,0,1,156,-1
123,1,1,123,-1
123,0,1,147,-1
123,0,1,113,-1
123,0,1,121,-1
123,0,1,97,-1
123,0,1,119,-1
123,0,1,109,-1
123,0,1,144,-1
123,0,1,129,-1
123,0,1,110,-1
123,0,1,115,-1
123,0,1,114,-1
123,0,1,122,-1
123,0,1,126,-1
123,0,1,138,-1
76,1,1,73,-1
76,0,1,92,-1
76,0,1,62,-1
76,0,1,75,-1
76,0,1,90,-1
270,1,1,259,-1
270,0,1,281,-1
270,0,1,268,-1
270,0,1,270,-1
270,0,1,263,-1
270,0,1,284,-1
270,0,1,242,-1
270,0,1,285,-1
270,0,1,278,-1
270,0,1,274,-1
270,0,1,258,-1
270,0,1,258,-1
270,0,1,275,-1
270,0,1,260,-1
270,0,1,265,-1
90,1,1,94,-1
90,0,1,90,-1
90,0,1,84,-1
90,0,1,95,-1
90,0,1,103,-1
203,1,1,198,-1
203,0,1,216,-1
203,0,1,192,-1
203,0,1,211,-1
203,0,1,184,-1
203,0,1,203,-1
203,0,1,195,-1
329,1,1,337,-1
329,0,1,335,-1
329,0,1,322,-1
329,0,1,323,-1
329,0,1,320,-1
329,0,1,326,-1
329,0,1,342,-1
329,0,1,321,-1
329,0,1,305,-1
329,0,1,336,-1
329,0,1,319,-1
329,0,1,335,-1
329,0,1,331,-1
122,1,1,105,-1
122,0,1,121,-1
122,0,1,133,-1
122,0,1,135,-1
122,0,1,127,-1
122,0,1,135,-1
122,0,1,132,-1
122,0,1,134,-1
122,0,1,130,-1
122,0,1,121,-1
236,1,1,253,-1
236,0,1,214,-1
236,0,1,235,-1
236,0,1,258,-1
236,0,1,227,-1
236,0,1,244,-1
236,0,1,258,-1
236,0,1,230,-1
236,0,1,225,-1
236,0,1,232,-1
236,0,1,263,-1
236,0,1,220,-1
236,0,1,237,-1
207,1,1,209,-1
207,0,1,187,-1
207,0,1,184,-1
