distMean,is_changepoint,rule,outcome,is_oddball
285,1,1,284,-1
285,0,1,295,-1
285,0,1,298,-1
285,0,1,275,-1
285,0,1,269,-1
285,0,1,285,-1
169,1,1,176,-1
169,0,1,162,-1
169,0,1,177,-1
169,0,1,168,-1
169,0,1,169,-1
169,0,1,175,-1
169,0,1,177,-1
169,0,1,159,-1
169,0,1,168,-1
169,0,1,145,-1
51,1,1,44,-1
51,0,1,38,-1
51,0,1,37,-1
51,0,1,61,-1
51,0,1,58,-1
51,0,1,57,-1
160,1,1,170,-1
160,0,1,154,-1
160,0,1,153,-1
160,0,1,150,-1
160,0,1,152,-1
160,0,1,162,-1
160,0,1,160,-1
160,0,1,148,-1
160,0,1,168,-1
160,0,1,164,-1
160,0,1,170,-1
160,0,1,178,-1
278,1,1,268,-1
278,0,1,286,-1
278,0,1,276,-1
278,0,1,287,-1
278,0,1,279,-1
278,0,1,299,-1
278,0,1,276,-1
278,0,1,298,-1
278,0,1,278,-1
278,0,1,285,-1
278,0,1,279,-1
278,0,1,270,-1
278,0,1,283,-1
278,0,1,279,-1
278,0,1,262,-1
175,1,1,169,-1
175,0,1,174,-1
175,0,1,165,-1
175,0,1,170,-1
175,0,1,174,-1
175,0,1,185,-1
175,0,1,184,-1
175,0,1,169,-1
175,0,1,190,-1
175,0,1,169,-1
175,0,1,179,-1
175,0,1,184,-1
282,1,1,266,-1
282,0,1,271,-1
282,0,1,277,-1
282,0,1,284,-1
282,0,1,280,-1
282,0,1,288,-1
282,0,1,265,-1
282,0,1,259,-1
282,0,1,270,-1
282,0,1,285,-1
282,0,1,289,-1
282,0,1,279,-1
282,0,1,280,-1
163,1,1,164,-1
163,0,1,156,-1
163,0,1,158,-1
163,0,1,162,-1
163,0,1,150,-1
163,0,1,144,-1
163,0,1,179,-1
163,0,1,172,-1
278,1,1,282,-1
278,0,1,283,-1
278,0,1,291,-1
278,0,1,273,-1
278,0,1,274,-1
278,0,1,282,-1
278,0,1,269,-1
278,0,1,291,-1
29,1,1,34,-1
29,0,1,22,-1
29,0,1,30,-1
29,0,1,25,-1
29,0,1,26,-1
29,0,1,28,-1
29,0,1,35,-1
137,1,1,143,-1
137,0,1,129,-1
137,0,1,144,-1
137,0,1,133,-1
137,0,1,120,-1
137,0,1,141,-1
137,0,1,121,-1
242,1,1,238,-1
242,0,1,252,-1
242,0,1,254,-1
242,0,1,239,-1
242,0,1,237,-1
242,0,1,240,-1
242,0,1,223,-1
242,0,1,262,-1
134,1,1,126,-1
134,0,1,148,-1
134,0,1,132,-1
134,0,1,146,-1
134,0,1,153,-1
134,0,1,141,-1
134,0,1,156,-1
134,0,1,127,-1
134,0,1,141,-1
134,0,1,125,-1
134,0,1,121,-1
245,1,1,240,-1
245,0,1,235,-1
245,0,1,236,-1
245,0,1,249,-1
245,0,1,239,-1
245,0,1,239,-1
245,0,1,241,-1
245,0,1,235,-1
245,0,1,262,-1
245,0,1,257,-1
245,0,1,257,-1
245,0,1,235,-1
245,0,1,238,-1
245,0,1,241,-1
245,0,1,242,-1
137,1,1,129,-1
137,0,1,129,-1
137,0,1,145,-1
137,0,1,139,-1
137,0,1,144,-1
137,0,1,146,-1
137,0,1,126,-1
137,0,1,122,-1
137,0,1,149,-1
137,0,1,139,-1
137,0,1,148,-1
137,0,1,131,-1
137,0,1,140,-1
26,1,1,20,-1
26,0,1,14,-1
26,0,1,17,-1
26,0,1,0,-1
26,0,1,24,-1
26,0,1,18,-1
26,0,1,24,-1
133,1,1,147,-1
133,0,1,139,-1
133,0,1,128,-1
133,0,1,145,-1
133,0,1,131,-1
25,1,1,39,-1
25,0,1,16,-1
25,0,1,31,-1
25,0,1,37,-1
25,0,1,22,-1
25,0,1,20,-1
25,0,1,29,-1
25,0,1,15,-1
265,1,1,246,-1
265,0,1,271,-1
265,0,1,275,-1
265,0,1,276,-1
265,0,1,265,-1
265,0,1,261,-1
265,0,1,267,-1
265,0,1,256,-1
265,0,1,247,-1
265,0,1,254,-1
265,0,1,279,-1
22,1,1,16,-1
22,0,1,-2,-1
22,0,1,11,-1
22,0,1,24,-1
22,0,1,22,-1
22,0,1,22,-1
22,0,1,8,-1
22,0,1,21,-1
22,0,1,31,-1
22,0,1,15,-1
270,1,1,280,-1
270,0,1,259,-1
270,0,1,274,-1
270,0,1,267,-1
270,0,1,276,-1
270,0,1,266,-1
270,0,1,283,-1
270,0,1,259,-1
270,0,1,268,-1
270,0,1,261,-1
270,0,1,274,-1
10,1,1,-2,-1
10,0,1,7,-1
10,0,1,4,-1
10,0,1,-2,-1
10,0,1,14,-1
10,0,1,0,-1
10,0,1,18,-1
10,0,1,8,-1
10,0,1,30,-1
10,0,1,1,-1
10,0,1,0,-1
10,0,1,7,-1
10,0,1,14,-1
117,1,1,112,-1
117,0,1,121,-1
117,0,1,120,-1
117,0,1,115,-1
117,0,1,91,-1
117,0,1,118,-1
117,0,1,117,-1
117,0,1,114,-1
117,0,1,104,-1
117,0,1,108,-1
318,1,1,316,-1
318,0,1,313,-1
318,0,1,316,-1
318,0,1,314,-1
318,0,1,318,-1
318,0,1,309,-1
318,0,1,326,-1
318,0,1,306,-1
318,0,1,291,-1
318,0,1,329,-1
318,0,1,309,-1
318,0,1,321,-1
318,0,1,313,-1
76,1,1,79,-1
