distMean,outcome,rule,is_oddball
323.555728,332,-1,0
325.9007134,327,-1,0
316.258948,295,-1,0
309.1625468,136,-1,1
297.9914456,281,-1,0
294.6482706,313,-1,0
283.4006303,288,-1,0
273.8787881,325,-1,1
260.1361496,251,-1,0
249.4311545,239,-1,0
249.2958756,273,-1,0
244.4970806,256,-1,0
233.2644019,101,-1,1
228.8809655,229,-1,0
226.7081039,253,-1,0
247.7117437,244,-1,0
236.1565934,238,-1,0
224.4856837,216,-1,0
231.143479,248,-1,0
231.5540637,261,-1,1
222.6087174,205,-1,0
216.2967979,215,-1,0
194.4034355,146,-1,0
195.9525089,214,-1,1
198.008238,208,-1,0
183.0859404,209,-1,0
174.0946299,170,-1,0
168.9424465,150,-1,0
181.0854333,145,-1,0
193.8730915,139,-1,0
183.2029609,195,-1,0
201.4292502,200,-1,0
210.3150236,202,-1,0
208.780938,204,-1,0
195.871327,187,-1,0
190.4000932,192,-1,0
190.5183717,183,-1,0
189.5666214,183,-1,0
200.5018047,163,-1,0
203.4290496,204,-1,0
193.1206003,204,-1,0
186.4393076,98,-1,1
206.1478924,223,-1,0
201.6484196,194,-1,0
215.6676543,237,-1,0
222.4515475,243,-1,0
198.4530286,82,-1,1
201.5239981,193,-1,0
200.6724371,198,-1,0
214.8684514,198,-1,0
227.7971729,240,-1,0
235.7707999,172,-1,0
230.8924819,203,-1,1
224.9435579,209,-1,0
241.9835142,215,-1,0
263.0635519,237,-1,0
247.9163747,211,-1,0
268.3121249,273,-1,0
264.4492347,301,-1,0
253.1347627,221,-1,0
162.3640633,324,-1,1
163.1847124,169,-1,0
163.1963645,149,-1,0
172.0891399,187,-1,0
186.0289802,192,-1,0
199.4050498,220,-1,0
193.6788089,318,-1,1
182.8626245,149,-1,0
184.0384306,161,-1,0
189.7567645,217,-1,0
194.6720358,203,-1,0
202.4095745,205,-1,0
199.9393242,215,-1,0
195.419666,192,-1,0
180.3245348,158,-1,0
186.8138695,167,-1,0
189.0604695,183,-1,1
189.9078908,209,-1,0
181.9750003,192,-1,0
190.0743394,197,-1,0
162.9594557,213,-1,1
162.3568078,151,-1,0
158.0102988,157,-1,0
160.5647089,172,-1,0
128.0789696,55,-1,1
119.5018426,118,-1,0
99.93534452,85,-1,0
81.06564253,89,-1,0
76.13292787,84,-1,0
63.42800216,60,-1,1
58.08890764,85,-1,0
54.70431599,35,-1,0
52.30561593,40,-1,0
54.84837512,42,-1,0
53.42146739,290,-1,1
48.95845501,55,-1,0
40.43325507,56,-1,0
55.65519847,43,-1,0
59.05177149,54,-1,0
68.41761157,102,-1,0
65.76231085,79,-1,1
71.28830593,42,-1,0
66.70728787,69,-1,0
78.7377364,87,-1,0
47.63633581,27,-1,0
39.33174986,44,-1,0
32.97382634,27,-1,0
16.29294069,21,-1,0
17.59187958,78,-1,1
354.0666261,5,-1,0
359.9112023,1,-1,0
23.05216119,20,-1,0
32.38492596,43,-1,0
15.22072006,334,-1,0
